model,C,gamma,epsilon,oof_rmse,fold_mean,fold_std,time
svr_rbf,45,0.01,0.002,23.474390126619284,23.401692399391568,1.8460185971381777,11.327790200011805
svr_rbf,60,0.006,0.01,23.49349344826183,23.477331700306934,0.8712810323222946,3.8391893999651074
svr_rbf,60,0.006,0.005,23.627505480669264,23.614749396909115,0.77628999751165,5.0550663999747485
svr_rbf,45,0.008,0.002,23.689305339473897,23.663363833809264,1.1083318706932304,6.306685199961066
svr_rbf,60,0.006,0.002,23.775878032039536,23.765983650119363,0.6858551863763992,6.2582092001102865
svr_rbf,90,0.015,0.01,23.959774077824715,23.849615404350388,2.2949115287901214,9.580866000149399
svr_rbf,120,0.015,0.01,24.001402500929498,23.878788183762087,2.422972737496023,18.14140189997852
svr_rbf,75,0.015,0.01,24.004661691094185,23.89809309631311,2.259409051906282,8.555628899950534
svr_rbf,60,0.015,0.01,24.04300814064466,23.946459286655045,2.1525166860393474,7.535385900177062
svr_rbf,45,0.015,0.01,24.08468308503844,23.999468987423434,2.024215311778277,5.692786100087687
svr_rbf,45,0.006,0.01,24.203270868553826,24.186847067966546,0.8914873231763953,3.0918880000244826
svr_rbf,45,0.006,0.005,24.306655715793895,24.294303032414973,0.7748240157147211,4.096736000152305
svr_rbf,45,0.006,0.002,24.441008024951596,24.43191615314623,0.6665931003098658,4.716709400061518
